WS,ID,Visual Score,Biological Score,Conductivity (uS/cm),Turbidity (NTU),Phosphate (mg/l),Nitrate (mg/l),pH,Temperature (°C),E.coli (cfu),E.coli Method,date
BICO,102,44.0,22.0,83.0,4.0,,0.8,7.2,,275.0,,2001-04-28
BICO,103,,27.0,,,,,,,,,2001-04-28
MIDO,101,45.0,,47.0,3.0,,,,,145.0,,2001-04-28
MIDO,102,52.0,,85.0,17.0,,,6.8,,,,2001-04-28
MIDO,103,39.0,,98.0,5.0,,,,,,,2001-04-28
MIDO,104,,,85.0,79.0,,,7.0,,,,2001-04-28
MIDO,116,46.0,,85.0,17.0,,,7.0,,,,2001-04-28
MIDO,117,,,85.0,21.0,,,6.9,,,,2001-04-28
MIDO,301,44.0,13.0,53.0,5.0,,0.4,6.7,,86.0,,2001-04-28
MIDO,305,40.0,,46.0,8.0,,,,,,,2001-04-28
MIDO,306,29.0,,55.0,10.0,,1.0,,,,,2001-04-28
MIDO,312,32.0,,53.0,6.0,,,,,,,2001-04-28
MIDO,402,41.0,,71.0,11.0,,,,,,,2001-04-28
MIDO,403,33.0,,65.0,,,,,,,,2001-04-28
MIDO,503,47.0,,60.0,6.0,,,,,135.0,,2001-04-28
MIDO,505,48.0,,69.0,7.0,,,,,,,2001-04-28
MIDO,507,46.0,,47.0,4.0,,,,,73.0,,2001-04-28
MIDO,508,41.0,,64.0,7.0,,,,,141.0,,2001-04-28
MIDO,515,48.0,20.0,58.0,4.0,,,,,,,2001-04-28
MIDO,601,39.0,25.0,65.0,7.0,,0.6,7.2,,85.0,,2001-04-28
MIDO,605,,,68.0,11.0,,,,,74.0,,2001-04-28
MIDO,606,,,64.0,8.0,,,,,110.0,,2001-04-28
MIDO,608,,,71.0,8.0,,,,,,,2001-04-28
MIDO,609,,,63.0,4.0,,,,,2723.0,,2001-04-28
MIDO,610,,,64.0,8.0,,,,,,,2001-04-28
MIDO,611,,,67.0,10.0,,,,,96.0,,2001-04-28
MIDO,613,,,69.0,13.0,,,,,134.0,,2001-04-28
MIDO,616,37.0,,80.0,5.0,,0.6,6.5,,169.0,,2001-04-28
MIDO,617,,,67.0,17.0,,,,,41.0,,2001-04-28
MIDO,618,29.0,,181.0,2.0,,2.0,6.9,,221.0,,2001-04-28
MIDO,701,40.0,10.0,56.0,7.0,,0.7,7.3,,269.0,,2001-04-28
MIDO,703,,,132.0,185.0,,,7.4,,,,2001-04-28
MIDO,711,43.0,,84.0,9.0,,,7.6,,,,2001-04-28
MIDO,713,,,144.0,16.0,,,7.4,,,,2001-04-28
MIDO,715,,,103.0,58.0,,,7.3,,,,2001-04-28
MIDO,716,38.0,,84.0,9.0,,,,,,,2001-04-28
MIDO,719,,,132.0,86.0,,,7.6,,,,2001-04-28
MIDO,724,,,144.0,22.0,,,7.5,,,,2001-04-28
MIDO,727,,,138.0,66.0,,,7.6,,,,2001-04-28
MIDO,729,,,129.0,23.0,,,7.5,,,,2001-04-28
MIDO,801,36.0,15.0,89.0,16.0,,1.0,8.0,,41.0,,2001-04-28
MIDO,802,40.0,12.0,92.0,5.0,,3.6,7.3,,563.0,,2001-04-28
MIDO,803,26.0,4.0,135.0,3.0,,2.3,7.0,,,,2001-04-28
MIDO,813,48.0,,76.0,5.0,,,,,,,2001-04-28
MIDO,814,40.0,,76.0,5.0,,,,,,,2001-04-28
MIDO,815,,,,19.0,,1.4,6.9,,,,2001-04-28
MIDO,818,46.0,,112.0,2.0,,1.6,,,556.0,,2001-04-28
MIDO,821,50.0,,83.0,2.0,,,,,,,2001-04-28
MIDO,823,44.0,,87.0,3.0,,,,,,,2001-04-28
MIDO,824,,,129.0,22.0,,,7.2,,,,2001-04-28
MIDO,827,,,129.0,17.0,,,7.4,,,,2001-04-28
MIDO,828,38.0,,89.0,4.0,,0.9,6.4,,472.0,,2001-04-28
MIDO,829,48.0,,83.0,5.0,,,,,,,2001-04-28
MIDO,832,,,129.0,26.0,,,6.4,,,,2001-04-28
MIDO,833,,,129.0,18.0,,,7.4,,,,2001-04-28
MIDO,834,,,130.0,25.0,,,7.5,,,,2001-04-28
MIDO,855,,,84.0,23.0,,,7.0,,,,2001-04-28
MIDO,856,46.0,,83.0,17.0,,,7.0,,,,2001-04-28
MIDO,857,,,83.0,23.0,,,7.0,,,,2001-04-28
MIDO,858,46.0,,83.0,31.0,,,7.0,,,,2001-04-28
MIDO,859,,,83.0,32.0,,,7.0,,,,2001-04-28
MIDO,860,,,83.0,43.0,,,7.1,,,,2001-04-28
MIDO,861,43.0,,83.0,13.0,,,7.0,,,,2001-04-28
MIDO,862,40.0,,81.0,11.0,,,7.4,,,,2001-04-28
MIDO,864,,,,20.0,,,6.2,,,,2001-04-28
MIDO,865,,,,19.0,,,6.8,,,,2001-04-28
MIDO,867,,,,19.0,,1.4,6.8,,,,2001-04-28
MIDO,869,,,,19.0,,,6.8,,,,2001-04-28
MIDO,872,,,,20.0,,,6.8,,,,2001-04-28
MIDO,876,,,129.0,18.0,,,7.2,,,,2001-04-28
MIDO,878,,,128.0,17.0,,,7.4,,,,2001-04-28
MIDO,879,,,129.0,17.0,,,7.4,,,,2001-04-28
MIDO,880,,,129.0,16.0,,,7.4,,,,2001-04-28
MIDO,881,,,83.0,22.0,,,7.0,,,,2001-04-28
MIDO,882,,,83.0,18.0,,,7.0,,,,2001-04-28
MIDO,883,,,83.0,26.0,,,7.0,,,,2001-04-28
MIDO,884,,,83.0,66.0,,,7.0,,,,2001-04-28
MIDO,885,46.0,,83.0,13.0,,1.8,7.1,,,,2001-04-28
MIDO,886,,,82.0,14.0,,,7.1,,,,2001-04-28
MIDO,887,49.0,,83.0,15.0,,,7.1,,,,2001-04-28
MIDO,888,,,83.0,16.0,,,7.0,,,,2001-04-28
MIDO,889,,,83.0,,,,7.3,,,,2001-04-28
NORO,101,43.0,,46.0,5.0,,1.2,,,2187.0,,2001-04-28
NORO,105,45.0,,65.0,4.0,,,,,,,2001-04-28
NORO,108,34.0,,86.0,10.0,,,,,,,2001-04-28
NORO,110,29.0,,104.0,12.0,,,,,183.0,,2001-04-28
NORO,111,45.0,,65.0,12.0,,,,,,,2001-04-28
NORO,112,49.0,,,,,,,,,,2001-04-28
NORO,114,25.0,,,,,,,,,,2001-04-28
NORO,115,40.0,,50.0,5.0,,,,,,,2001-04-28
NORO,116,26.0,,50.0,5.0,,,,,,,2001-04-28
NORO,201,49.0,21.0,46.0,8.0,,0.6,7.2,,203.0,,2001-04-28
NORO,301,47.0,,71.0,8.0,,,,,,,2001-04-28
NORO,401,44.0,22.0,45.0,11.0,,0.6,7.0,,63.0,,2001-04-28
NORO,402,40.0,,50.0,3.0,,,,,691.0,,2001-04-28
NORO,403,46.0,,38.0,12.0,,,,,,,2001-04-28
NORO,404,39.0,,53.0,4.0,,,,,,,2001-04-28
NORO,405,49.0,,45.0,4.0,,,,,,,2001-04-28
NORO,407,27.0,,49.0,8.0,,,,,,,2001-04-28
NORO,408,46.0,5.0,,5.0,,,,,,,2001-04-28
NORO,409,50.0,20.0,,,,,,,,,2001-04-28
NORO,502,23.0,,271.0,5.0,,,,,,,2001-04-28
